date,ndvi_sg,ndvi_sg_scaled
2010-02-25,0.14383428775473,0.14377980572614388
2010-03-02,0.131226093692466,0.13808578281632183
2010-03-07,0.119673182846117,0.13286833940536352
2010-03-12,0.109175555215684,0.12812747549326942
2010-03-17,0.0997332108011671,0.12386319108003957
2010-03-22,0.0904419730671296,0.11966714839090024
2010-03-27,0.082832742342456,0.11623072174181412
2010-04-01,0.0771813777020756,0.1136784926457856
2010-04-06,0.0740638537047082,0.1122705786356373
2010-04-11,0.0739652275214028,0.11222603778034304
2010-04-16,0.0765478352310405,0.11339237670193159
2010-04-21,0.080745730045989,0.1152882000951391
2010-04-26,0.0853170382238618,0.11735266177491044
2010-05-01,0.0893140987568478,0.11915778581839942
2010-05-06,0.0916249228811096,0.12020138377058334
2010-05-11,0.0910860374809787,0.11995801617971658
2010-05-16,0.0880548934891722,0.11858911249318682
2010-05-21,0.0843536786128908,0.1169175961605824
2010-05-26,0.0813742262379478,0.11557203707433504
2010-05-31,0.0800992027878412,0.11499622005410085
2010-06-05,0.0812832955006967,0.11553097158164372
2010-06-10,0.085359145124162,0.11737167779368259
2010-06-15,0.0918097131830298,0.12028483745216934
2010-06-20,0.099518972193974,0.12376643816431654
2010-06-25,0.107959003842552,0.12757806521647794
2010-06-30,0.117397051265897,0.13184040905312283
2010-07-05,0.127767022583384,0.13652362172928983
2010-07-10,0.138988673141426,0.14159146372537307
2010-07-15,0.150981758286434,0.14700769552176562
2010-07-20,0.163483605059267,0.15265369062527162
2010-07-25,0.176420320748309,0.15849607813513142
2010-07-30,0.190228042809231,0.16473182334646644
2010-08-04,0.205543275786891,0.17164837991383886
2010-08-09,0.222941200649488,0.17950550697436585
2010-08-14,0.24272195653496,0.18843875123038345
2010-08-19,0.264744894909654,0.19838459399167338
2010-08-24,0.28831080613923,0.20902726317723502
2010-08-29,0.312092118471835,0.21976721027661933
2010-09-03,0.334694577244057,0.22997477191722993
2010-09-08,0.354923317092541,0.23911033150374028
2010-09-13,0.3713241447608,0.24651715662254248
2010-09-18,0.382559630382169,0.2515912467115051
2010-09-23,0.387774575060473,0.25394638292887917
2010-09-28,0.386824919692232,0.25351750632716313
2010-10-03,0.380370095030372,0.2506024243319138
2010-10-08,0.370053017551529,0.24594309919487728
2010-10-13,0.358062457219441,0.24052800763653454
2010-10-18,0.346156381989146,0.23515107063885077
2010-10-23,0.335189528971757,0.23019829849549028
2010-10-28,0.325354203675354,0.2257565388519831
2010-11-02,0.316364348948096,0.2216966046123774
2010-11-07,0.307682979023834,0.21777598608499155
2010-11-12,0.298833048915387,0.213779243606333
2010-11-17,0.289791759155479,0.20969608064318207
2010-11-22,0.280763635499685,0.2056188636623097
2010-11-27,0.271788316885807,0.20156549411882113
2010-12-02,0.262906959177574,0.19755455853111792
2010-12-07,0.254159114839425,0.19360391930182025
2010-12-12,0.24560948396134,0.18974279582529946
2010-12-17,0.237255225980484,0.18596990526677515
2010-12-22,0.229024097240944,0.18225262146029322
2010-12-27,0.22083034505745,0.17855221738816224
2011-01-01,0.21262087479067,0.17484471482707345
2011-01-06,0.204411744859719,0.17113736596603066
2011-01-11,0.196264662652869,0.16745803865674924
2011-01-16,0.188434734990165,0.16392194242651087
2011-01-21,0.18150861454258,0.16079401718123157
2011-01-26,0.17588930193305,0.15825626319536293
2011-01-31,0.171407852249454,0.1562323827695386
2011-02-05,0.167710203780212,0.1545624770723105
2011-02-10,0.16430619480656,0.15302518275517862
2011-02-15,0.160595578564761,0.15134942064475887
2011-02-20,0.155660225866454,0.14912055176842068
2011-02-25,0.148771940935869,0.14600971353017342
2011-03-02,0.139747892779545,0.1419343370973792
2011-03-07,0.128713118522501,0.13695089084694606
2011-03-12,0.116045118982625,0.131229859012771
2011-03-17,0.10269801253159801,0.12520213374643457
2011-03-22,0.0905723797314805,0.11972604172096327
2011-03-27,0.0820341830495622,0.11587008207477428
2011-04-01,0.0788576694122453,0.1144355275830744
2011-04-06,0.0794760206032207,0.11471478294909607
2011-04-11,0.0838892366224881,0.11670784817283913
2011-04-16,0.0920973174700479,0.1204147232543038
